cytokine;value.median;value.percentile.0;value.percentile.100;ga.week.median;condition;n;age.mean;age.sd;bmi.mean;bmi.sd;gabirth.weeks.mean;gabirth.weeks.sd;birthweight.mean;birthweight.sd;tissue;method
IL_10;0.1;0.00;19.85;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;1.32;0.00;9.13;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;15.42;0.00;37.58;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;2092;159.00;3846.00;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;2.96;0.00;62.59;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;37.36;0.00;110.00;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;0;0.00;4.85;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;13.29;0.00;64.21;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;13.21;0.00;54.27;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;415;99.00;2986.00;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;0.39;0.00;6.56;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;0;0.00;13.10;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;10.4;0.00;51.58;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;1.06;0.00;12.65;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;43.69;0.00;347.60;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;0.00;79.60;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;83.44;0.00;406.90;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;1.59;0.00;2.95;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.12;0.00;4.89;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;3.17;0.00;23.72;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;0;0.00;26.46;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_10;0;0.00;1.75;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;1.62;0.00;5.00;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;9.67;0.00;43.11;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;2006;149.00;5213.00;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;1.56;0.00;6.00;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;34.54;0.00;116.00;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;0;;;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;7.76;0.00;42.53;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;10.23;0.00;34.67;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;419;88.00;1022.00;11;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;2.03;1.30;7.69;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;0;0.00;21.05;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;7.13;0.00;16.93;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;1.25;0.00;11.29;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;151.78;90.50;323.90;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;;;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
